,True,Predicted
2198,85.09999847,84.94656
2199,85.09999847,85.32556
2202,84.80000305,85.09672
2205,84.69999695,85.01782
2208,84.19999695,84.552826
2219,85.09999847,85.219795
2222,84.69999695,84.70334
2226,83.80000305,84.11151
2230,84.0,84.00293
2231,83.80000305,84.07311
2233,84.19999695,84.26283
2236,84.30000305,84.46903
2246,84.59999847,84.77521
2248,83.90000153,84.26649
2251,83.59999847,83.94831
2254,83.5,83.54583
2255,83.19999695,83.80142
2257,83.30000305,83.62319
2258,83.59999847,84.141235
2273,83.40000153,83.55864
2274,83.5,83.51201
2276,83.30000305,83.265366
2282,83.69999695,83.89138
2283,84.0,83.60434
2286,83.5,84.03675
2289,83.80000305,83.83367
2292,83.5,83.4266
2295,83.90000153,83.948265
2297,83.69999695,83.33573
2299,83.90000153,83.88651
2302,82.5,82.80086
2304,85.542239,85.52338
2307,88.59999847,88.88095
2309,86.40000153,86.63462
2312,84.40000153,83.991394
2313,84.59999847,84.52477
2316,85.19999695,85.460754
2317,85.40000153,85.27295
2319,84.80000305,84.56606
2320,84.59999847,84.80353
2321,84.59999847,84.934006
2322,85.19999695,85.21788
2324,85.30000305,85.592316
2326,84.80000305,84.80804
2331,84.59999847,84.77255
2336,84.59999847,84.88266
2341,85.0,84.79376
2342,85.09999847,85.29719
2344,84.90000153,84.40312
2347,84.5,84.55288
2349,84.30000305,84.41678
2352,84.30000305,84.29272
2353,84.0,84.28397
2354,84.30000305,84.28452
2360,85.40000153,85.456345
2362,85.09999847,84.84551
2366,84.80000305,84.87297
2370,84.69999695,84.76481
2371,84.69999695,84.44014
2383,85.69999695,85.88816
2386,86.0,86.0023
2387,86.40000153,86.547295
2391,85.69999695,85.73422
2392,85.59999847,85.47122
2403,86.19999695,86.4338
2408,86.09999847,85.82286
2409,86.19999695,86.37247
2410,86.40000153,86.26645
2413,86.69999695,86.53558
2415,86.19999695,86.41312
2416,86.69999695,86.83392
2418,86.30000305,86.84062
2422,85.59999847,86.07391
2430,85.30000305,85.45824
2432,84.80000305,85.1386
2435,85.5,85.32605
2437,85.30000305,85.44939
2439,86.19999695,85.66904
2441,86.0,85.95428
2451,85.80000305,85.894165
2452,86.40000153,86.55585
2461,87.80000305,87.90655
2463,87.30000305,87.11284
2467,86.0,85.62019
2469,86.19999695,86.03203
2471,85.30000305,84.70464
2474,85.69999695,85.70645
2477,86.0,85.25212
2479,85.80000305,86.05643
2482,85.69999695,85.32349
2489,84.90000153,84.35953
2492,84.69999695,84.51497
2494,85.0,84.710075
2496,84.80000305,84.91068
2497,85.0,85.062325
2502,85.542239,85.66589
2504,85.542239,85.72061
2508,84.0,83.94046
2512,83.30000305,83.02434
2514,83.09999847,83.26767
2522,83.90000153,84.253426
2523,84.30000305,84.5882
2532,84.0,83.67439
2538,84.5,84.83382
2540,85.0,84.697685
2541,84.5,84.64112
2544,85.09999847,85.17755
2546,84.90000153,85.19508
2547,84.90000153,84.99058
2555,84.90000153,85.19987
2556,84.80000305,85.06535
2557,84.59999847,84.53335
2558,84.09999847,83.99176
2561,84.80000305,85.06312
2562,84.90000153,85.022804
2567,85.30000305,85.04487
2575,84.5,84.52191
2581,84.90000153,85.3743
2582,84.59999847,84.78813
2583,85.542239,85.82152
2589,85.542239,85.690254
2593,84.90000153,84.80083
2596,85.30000305,85.041534
2597,84.80000305,84.89238
2598,84.59999847,84.45889
2599,84.59999847,84.81537
2603,84.80000305,84.72261
2609,84.19999695,84.322014
2610,84.90000153,84.8571
2622,85.5,86.03439
2624,85.59999847,86.04875
2628,85.80000305,85.77261
2634,85.59999847,85.53323
2637,84.59999847,84.50395
2638,84.69999695,85.2641
2651,85.59999847,85.6248
2654,85.09999847,85.57418
2656,85.59999847,85.58022
2659,86.0,86.292725
2660,86.19999695,86.33658
2665,87.09999847,87.48613
2668,87.5,87.740906
2671,87.69999695,87.742004
2673,86.5,86.6696
2674,86.40000153,86.22075
2677,86.30000305,86.43433
2679,86.5,86.53
2680,86.59999847,86.48012
2681,87.0,87.26865
2683,87.59999847,87.83227
2684,87.69999695,87.62483
2688,87.59999847,87.46113
2691,86.30000305,86.442566
2692,86.19999695,86.444565
2699,86.09999847,86.37082
2704,86.30000305,86.23004
