,TOP_HOT_AIR_TEMP,CHAMBER_EXT_TEMP,CHAMBER_OUTLET_TEMP,FEED_PUMP_FLOW,target
945,185.60001,85.09999847,90.3000031,993.2685,0
10452,184.60001,86.0,90.9000015,989.7665,0
262,190.39999,60.542239,90.452079,1005.48,2
9835,188.89999,87.80000305,92.9000015,998.9883,0
5140,189.60001,84.30000305,89.1999969,1098.21,0
3509,184.5,85.30000305,90.0,975.9922,0
2113,185.0,84.09999847,88.9000015,923.541,4
9104,188.3,85.59999847,90.4000015,1132.763,0
9702,183.60001,83.19999695,88.0999985,1011.712,0
3197,200.8,83.5,88.3000031,1110.934,1
719,182.7,85.542239,90.452079,959.7665,0
5040,185.5,84.5,89.6999969,987.4319,0
5430,202.10001,82.69999695,87.5999985,1094.708,1
3134,187.5,83.80000305,88.5999985,922.49,4
3411,187.3,59.0,88.9000015,1105.097,2
4421,187.5,87.0,91.6999969,1012.879,0
956,185.60001,85.5,90.3000031,797.821,4
1252,183.8,84.19999695,89.0999985,1022.101,0
6267,183.8,80.80000305,85.5999985,1093.541,0
2279,184.10001,83.30000305,88.5,795.6031,4
2836,182.3,83.90000153,88.3000031,823.268,4
657,197.8,85.80000305,90.1999969,966.7704,1
5303,183.3,86.80000305,92.0999985,959.7665,0
5969,182.8,61.80000305,91.8000031,1005.875,2
3430,185.0,83.69999695,88.5999985,1011.712,0
5818,184.89999,83.90000153,89.0,1107.432,0
5221,183.5,86.09999847,91.1999969,970.1556,0
7008,186.60001,85.90000153,90.4000015,1055.486,0
71,186.2,87.19999695,72.5,1030.156,3
1858,184.5,84.69999695,89.8000031,810.545,4
4516,185.7,82.09999847,87.4000015,1026.654,0
4707,186.89999,84.0,88.6999969,897.043,4
5341,186.60001,82.40000153,87.3000031,884.319,4
1417,183.60001,86.09999847,71.1999969,1010.545,3
825,188.60001,60.69999695,90.4000015,1125.875,2
1771,184.60001,58.5,88.1999969,1052.101,2
1818,185.10001,85.19999695,90.0999985,985.214,0
4910,183.8,58.5,88.3000031,1003.658,2
1130,183.7,84.30000305,89.5,997.821,0
5367,186.3,59.09999847,88.8000031,1113.152,2
8137,185.8,83.80000305,88.3000031,1005.875,0
11578,185.60001,86.69999695,91.5999985,975.9922,0
984,182.7,85.542239,70.452079,1005.48,3
2780,181.5,84.90000153,69.5,1023.268,3
7240,183.3,84.69999695,89.4000015,987.4319,0
7475,186.39999,85.0,89.8000031,1080.934,0
10472,182.89999,86.09999847,91.0,987.4319,0
9782,188.39999,84.30000305,89.1999969,1092.49,0
4952,184.7,85.30000305,70.9000015,966.7704,3
9228,182.60001,84.0,88.4000015,1005.875,0
1845,183.0,84.59999847,89.3000031,1015.214,0
5572,184.0,59.90000153,90.0999985,992.1011,2
3289,184.8,83.69999695,88.3000031,784.0467,4
5708,183.8,85.542239,90.452079,1005.48,0
11058,186.3,87.80000305,92.3000031,1001.323,0
982,183.8,85.5,90.5,978.2101,0
1472,184.39999,84.09999847,89.3000031,1023.268,0
7318,183.3,84.09999847,89.0,1014.047,0
2514,197.5,83.09999847,87.6999969,1050.934,1
4999,198.3,84.09999847,88.5999985,1008.21,1
6034,182.89999,86.90000153,92.0999985,978.2101,0
2035,200.8,83.69999695,88.5999985,1062.49,1
6471,183.5,85.90000153,90.8000031,971.3229,0
11037,184.8,83.40000153,87.6999969,979.3774,0
816,186.7,84.90000153,89.1999969,916.654,4
6544,182.39999,84.5,89.0,986.3813,0
4378,183.3,59.19999695,88.3000031,992.1011,2
3213,186.2,58.69999695,88.8000031,1101.712,2
11006,184.0,85.80000305,90.9000015,962.1011,0
4401,186.2,57.59999847,87.3000031,895.214,2
5268,184.5,85.90000153,91.3000031,772.4903,4
1669,184.3,60.09999847,90.3000031,993.2685,2
1102,184.5,84.80000305,89.5,997.821,0
8718,184.0,84.40000153,89.0999985,985.214,0
1434,197.8,85.542239,90.452079,1005.48,1
7936,185.60001,84.69999695,89.4000015,1071.712,0
1674,182.60001,85.09999847,70.3000031,984.0467,3
6044,186.3,88.40000153,93.5,972.4903,0
4336,185.7,85.90000153,90.8000031,765.6031,4
606,188.39999,84.5,89.0,1121.323,0
6967,187.7,82.59999847,87.3000031,1072.879,0
5691,187.60001,84.19999695,88.6999969,1100.545,0
4045,183.2,58.0,87.5999985,989.7665,2
4314,185.89999,83.0,87.6999969,1024.436,0
7061,185.39999,85.80000305,90.8000031,1007.043,0
3513,185.0,60.69999695,90.1999969,982.8794,2
1242,182.60001,59.80000305,89.0999985,1025.486,2
2723,182.0,85.59999847,90.5,1009.377,0
7309,183.8,85.0,89.6999969,1027.821,0
1770,184.2,58.40000153,88.4000015,1056.654,2
4797,199.3,83.80000305,88.8000031,1033.658,1
1370,184.8,85.19999695,90.0,903.93,4
4399,185.3,82.09999847,66.3000031,922.8794,3
2000,184.8,84.19999695,89.0999985,1054.436,0
10243,187.3,84.80000305,89.5999985,1076.265,0
533,185.39999,60.542239,90.452079,1045.097,2
7365,183.8,85.0,90.0,990.9338,0
5289,183.7,61.80000305,92.1999969,964.4358,2
209,185.60001,86.09999847,91.1999969,792.1011,4
555,188.8,84.59999847,89.0999985,1117.821,0
5218,184.2,86.59999847,71.5999985,965.6031,3
10492,184.60001,87.30000305,92.1999969,997.821,0
7473,185.8,84.90000153,89.3000031,1069.377,0
11097,185.39999,87.40000153,92.1999969,990.9338,0
7119,184.5,86.59999847,91.8000031,982.8794,0
1141,182.3,84.69999695,89.5,1014.047,0
2851,187.5,85.542239,90.452079,1005.48,0
4762,198.8,84.0,88.8000031,992.1011,1
209,185.60001,61.09999847,91.1999969,992.1011,2
5699,187.39999,85.542239,70.452079,1005.48,3
723,183.60001,87.19999695,92.4000015,810.545,4
9906,185.60001,87.30000305,92.5,975.9922,0
2953,183.89999,84.5,69.4000015,1002.49,3
5955,197.8,86.5,91.4000015,997.821,1
2234,181.10001,84.0,88.6999969,1008.21,0
8580,182.8,82.59999847,87.0999985,997.821,0
3994,186.60001,59.19999695,89.0,1002.49,2
9533,186.10001,87.09999847,92.0,1007.043,0
2860,200.0,83.19999695,87.8000031,1100.545,1
4492,184.2,82.09999847,87.1999969,1025.486,0
2470,181.89999,85.09999847,70.0999985,998.9883,3
4523,185.39999,82.5,87.5,1016.265,0
11354,185.10001,86.40000153,91.0999985,1039.377,0
5083,186.10001,84.30000305,88.6999969,906.265,4
10919,184.60001,86.59999847,91.4000015,1016.265,0
1412,182.39999,85.69999695,90.6999969,803.658,4
10099,185.0,87.19999695,92.0,1009.377,0
3068,183.8,85.30000305,89.5999985,762.1011,4
5832,186.10001,83.40000153,88.5999985,1105.097,0
2105,185.10001,83.90000153,88.9000015,908.599,4
5142,186.39999,84.09999847,88.4000015,894.708,4
3732,187.5,85.30000305,90.1999969,1053.268,0
3422,185.39999,85.30000305,90.4000015,992.1011,0
