,TOP_HOT_AIR_TEMP,CHAMBER_OUTLET_TEMP,FEED_PUMP_FLOW,CHAMBER_EXT_TEMP
1485,184.2,89.1999969,1024.436,84.09999847
8552,183.8,91.0,1002.49,86.09999847
8011,185.5,90.1999969,1004.825,85.09999847
9254,183.60001,88.1999969,1010.545,83.19999695
6065,183.7,92.4000015,985.214,87.09999847
5918,188.0,89.1999969,1114.319,84.30000305
4287,199.8,69.5999985,805.875,59.40000153
739,182.0,89.0,1022.101,84.19999695
10325,188.89999,91.1999969,1072.879,86.30000305
5046,182.39999,90.4000015,982.8794,85.30000305
8710,185.3,91.8000031,979.3774,86.80000305
11721,185.2,91.3000031,1039.377,87.30000305
5640,189.2,87.9000015,1106.265,83.19999695
6649,186.89999,88.3000031,1079.766,83.40000153
10031,184.5,89.8000031,1010.545,85.19999695
10052,184.3,89.8000031,1009.377,85.0
7184,184.7,88.8000031,986.3813,84.09999847
3775,198.60001,69.0,809.377,59.0
1860,182.5,90.0999985,1005.875,85.0
5029,183.8,88.5,978.2101,83.90000153
1172,182.10001,90.0,993.2685,85.09999847
1320,201.3,69.3000031,899.377,59.80000305
10991,184.7,89.1999969,1052.101,84.80000305
4756,199.5,68.9000015,779.3774,58.90000153
6289,181.2,86.5999985,1086.654,81.90000153
1763,181.3,88.8000031,984.0467,84.30000305
2815,199.5,69.0999985,815.214,59.19999695
1505,181.5,88.0999985,1023.268,83.30000305
2630,187.2,90.5999985,1114.319,85.69999695
897,183.0,89.6999969,974.8249,85.0
5492,199.89999,69.3000031,804.825,59.40000153
4448,186.2,89.0999985,1093.541,84.0
4997,185.5,89.3000031,988.5992,84.30000305
5709,199.2,72.0,819.767,64.69999695
5304,200.39999,71.3000031,756.3813,61.09999847
11278,186.8,91.0999985,1086.654,86.69999695
1277,183.89999,90.4000015,1038.21,85.40000153
5487,200.10001,68.3000031,827.821,58.69999695
603,200.2,68.5999985,900.545,59.40000153
2766,181.10001,91.8000031,992.1011,87.0
7874,185.5,88.1999969,1010.545,83.5
1032,199.5,70.452079,805.48,60.542239
3865,200.60001,66.5999985,848.599,57.09999847
5992,183.7,91.0999985,987.4319,86.40000153
1085,185.2,90.0999985,1097.043,85.40000153
6665,186.7,87.5999985,1093.541,83.40000153
5363,201.2,69.5999985,922.49,59.69999695
4885,182.89999,88.5,1002.49,84.0
5224,197.8,70.6999969,756.3813,61.0
5483,184.0,89.0,1019.767,84.19999695
5800,197.8,70.452079,805.48,60.542239
3064,185.10001,89.4000015,957.4319,84.59999847
2869,185.2,88.6999969,1092.49,83.80000305
2768,184.10001,90.452079,1005.48,86.19999695
2236,198.89999,69.4000015,801.323,59.30000305
3046,200.10001,69.0999985,809.377,59.40000153
5316,199.8,69.5,823.268,59.19999695
11140,185.39999,90.0999985,990.9338,85.30000305
7428,186.3,88.9000015,1084.319,84.40000153
1302,185.5,89.1999969,1101.712,84.59999847
1496,182.0,89.0999985,1026.654,83.80000305
2059,202.0,71.5999985,868.21,61.59999847
3357,200.5,68.5,794.4358,59.0
331,184.5,89.1999969,1030.156,84.40000153
6282,181.89999,86.1999969,1084.319,81.40000153
8679,184.0,92.0,984.0467,86.69999695
9167,188.0,92.0999985,1084.319,87.30000305
6976,187.0,88.6999969,1109.766,84.0
10290,189.8,92.0999985,1072.879,87.09999847
7251,184.3,90.0,978.2101,84.90000153
9765,187.8,93.0,1046.265,87.80000305
5971,199.8,71.9000015,778.2101,61.90000153
9682,185.60001,90.8000031,1103.93,86.19999695
3265,198.5,66.5,794.4358,57.19999695
3462,184.0,88.4000015,1014.047,83.80000305
5647,203.10001,67.4000015,913.152,58.30000305
3922,184.7,90.5999985,978.2101,85.5
4682,186.89999,88.9000015,1069.377,84.19999695
84,185.89999,92.1999969,1028.988,87.19999695
901,183.0,90.1999969,985.214,85.5
317,200.39999,71.6999969,804.825,61.90000153
10135,184.39999,92.3000031,987.4319,86.90000153
2597,186.10001,89.6999969,1105.097,84.80000305
7780,185.5,89.8000031,1073.93,84.80000305
2598,200.2,69.1999969,918.988,59.59999847
3483,198.2,68.0999985,807.043,58.40000153
4405,203.7,70.452079,805.48,60.542239
3134,202.5,68.5999985,922.49,58.80000305
5177,202.10001,68.0999985,893.541,58.59999847
3580,197.7,67.9000015,837.043,58.30000305
2763,198.2,71.4000015,798.9883,61.30000305
4736,183.39999,88.8000031,992.1011,83.40000153
5392,184.5,87.0,1114.319,82.5
2603,201.60001,69.5,915.486,59.80000305
2935,199.89999,68.5,789.7665,58.5
10603,185.5,90.0999985,984.0467,85.19999695
5105,203.5,69.4000015,901.712,59.40000153
8638,184.7,92.6999969,982.8794,87.69999695
4024,185.7,87.9000015,985.214,83.30000305
5824,188.39999,88.5,1109.766,83.69999695
5893,200.89999,68.3000031,910.934,58.69999695
10499,184.3,90.5,1019.767,85.80000305
8505,183.7,90.0,993.2685,85.5
1979,185.10001,91.5,1005.48,85.90000153
601,202.60001,68.8000031,917.821,59.19999695
11592,184.0,91.4000015,974.8249,86.69999695
2180,200.89999,70.452079,805.48,60.542239
2703,196.10001,72.0999985,785.214,61.5
11654,186.10001,91.8000031,1025.486,87.09999847
8672,184.8,90.8000031,1040.545,85.80000305
8849,185.60001,91.5999985,984.0467,86.59999847
8717,185.7,89.5999985,980.5447,84.80000305
1813,185.39999,89.9000015,1002.49,84.80000305
11052,185.3,93.5,945.9922,88.59999847
5072,197.5,70.452079,805.48,60.542239
9441,185.0,93.5,992.1011,88.69999695
5664,188.2,88.3000031,1092.49,84.0
2186,182.60001,90.5999985,990.9338,85.90000153
8895,184.10001,92.1999969,977.0428,87.09999847
10090,185.60001,90.9000015,1002.49,85.90000153
3205,201.7,68.6999969,884.319,58.59999847
10446,183.60001,90.5999985,990.9338,85.80000305
11492,189.0,92.8000031,1044.047,88.09999847
1502,184.10001,88.3000031,1031.323,83.59999847
10029,185.60001,89.9000015,1020.934,85.59999847
10971,184.2,90.5,1030.156,86.0
9440,184.10001,93.8000031,986.3813,88.69999695
1171,181.10001,90.0,981.712,85.09999847
992,197.10001,68.5999985,849.766,58.69999695
11316,187.3,89.5,1095.875,84.59999847
1643,202.7,69.9000015,910.934,59.59999847
9675,185.7,92.6999969,1007.043,87.40000153
5852,188.0,88.5,1112.101,83.69999695
3331,185.5,89.5999985,992.1011,84.69999695
995,199.5,68.4000015,856.654,58.30000305
1278,183.39999,90.3000031,1025.486,85.40000153
2271,181.5,88.3000031,993.2685,83.5
8418,183.60001,87.9000015,1005.875,83.09999847
9994,184.3,90.4000015,1018.599,85.80000305
10595,183.39999,89.1999969,975.9922,84.69999695
3760,184.10001,88.0999985,1060.156,83.19999695
3863,185.89999,87.0999985,1042.879,82.69999695
7761,185.5,89.8000031,1065.875,85.0
8620,183.8,89.4000015,978.2101,84.19999695
3348,185.7,88.5999985,992.1011,83.69999695
5028,182.5,89.3000031,980.5447,84.40000153
3753,200.60001,68.8000031,833.658,59.40000153
3021,200.5,71.5,816.265,60.90000153
2265,182.2,89.5999985,1002.49,84.90000153
876,185.2,91.8000031,995.6031,86.69999695
2237,181.8,89.0999985,1009.377,84.09999847
2560,202.60001,68.8000031,795.6031,58.69999695
1725,198.3,70.1999969,785.214,59.80000305
4843,184.0,88.3000031,1035.875,83.90000153
8422,181.8,88.5,1018.599,83.59999847
9074,186.60001,90.0999985,1128.21,85.30000305
10714,186.2,94.9000015,1005.48,89.19999695
133,200.0,70.9000015,831.323,60.59999847
9264,182.5,87.6999969,1026.654,83.5
7767,185.3,89.5,1054.436,84.5
2640,202.8,69.0999985,905.097,59.40000153
5801,201.0,70.452079,805.48,60.542239
971,183.3,90.1999969,981.712,85.59999847
8387,183.3,88.8000031,1015.214,84.30000305
3606,182.39999,89.1999969,1004.825,84.80000305
864,185.5,91.9000015,978.2101,86.5
2398,202.3,71.5,897.043,61.09999847
2369,202.0,70.0,910.934,59.69999695
4705,188.3,88.4000015,1075.097,83.5
4943,200.5,68.6999969,741.3229,59.40000153
2518,182.10001,88.0999985,1045.097,84.0
11500,188.89999,89.5,1063.658,86.0
4968,200.10001,70.0999985,788.5992,60.0
2798,197.7,68.5,815.214,59.19999695
4421,187.5,91.6999969,1012.879,87.0
5576,185.10001,89.3000031,1055.486,84.40000153
3233,186.39999,89.0,1107.432,84.09999847
5802,199.8,74.1999969,763.2685,60.542239
2114,185.39999,88.6999969,1105.097,84.0
1174,184.0,90.4000015,995.6031,85.40000153
3061,198.10001,68.5999985,765.6031,59.5
2041,199.7,68.5,853.268,58.69999695
4475,189.10001,88.0999985,1084.319,83.40000153
3179,201.5,67.9000015,884.319,58.19999695
4032,184.8,87.5,994.4358,82.59999847
3519,182.0,87.1999969,1002.49,82.69999695
5342,186.3,88.1999969,1091.323,82.69999695
3553,183.60001,89.0999985,1026.654,84.59999847
4564,187.2,89.4000015,988.5992,84.69999695
2328,203.5,69.5999985,923.541,59.90000153
8935,185.60001,92.0999985,978.2101,87.0
1549,199.7,67.1999969,809.377,57.5
6505,182.5,88.3000031,964.4358,83.80000305
5759,198.8,70.4000015,789.7665,60.80000305
439,182.3,90.5,995.6031,85.40000153
3463,185.39999,88.6999969,1015.214,84.19999695
2841,197.60001,68.0999985,814.047,58.59999847
3964,185.10001,90.0,992.1011,85.0
3508,197.60001,70.8000031,790.9338,61.09999847
2580,202.89999,68.8000031,790.9338,59.09999847
6453,186.10001,90.452079,1005.48,85.542239
748,185.5,88.5,1028.988,83.69999695
1821,185.8,90.0999985,1012.879,85.0
7816,185.10001,89.5999985,1028.988,84.69999695
332,198.3,69.3000031,834.825,59.5
1437,199.2,70.452079,805.48,60.542239
1719,197.39999,69.5,793.2685,59.59999847
7227,184.5,90.8000031,981.712,86.30000305
11705,184.8,91.8000031,1015.214,87.69999695
4849,184.2,88.3000031,1035.875,83.90000153
815,186.3,89.1999969,1121.323,84.69999695
8289,185.3,88.5999985,1060.156,83.59999847
10373,185.7,92.0999985,988.5992,87.30000305
3168,201.0,67.3000031,894.708,57.5
2599,199.89999,69.5999985,903.93,59.59999847
3354,199.5,68.9000015,804.825,59.19999695
3231,188.10001,90.1999969,1094.708,84.80000305
778,200.5,67.9000015,822.101,58.09999847
4356,183.5,89.0,985.214,84.59999847
4601,201.8,69.0,797.821,59.0
2213,198.7,70.0,802.49,59.69999695
2454,185.39999,91.4000015,1070.545,86.40000153
2515,182.0,87.5999985,1046.265,82.80000305
2845,182.3,86.8000031,979.3774,82.90000153
10,189.89999,89.8000031,1112.101,85.09999847
454,185.3,91.1999969,996.6537,86.0
6253,184.10001,86.5999985,1095.875,81.69999695
3940,183.7,89.1999969,994.4358,84.40000153
10839,183.5,90.1999969,1005.875,85.5
673,197.60001,71.8000031,771.3229,61.40000153
3631,201.2,68.0999985,890.156,58.40000153
4310,199.89999,68.4000015,819.767,58.90000153
7045,185.39999,89.5999985,1055.486,84.80000305
7803,185.10001,88.5,1063.658,84.0
417,197.39999,69.4000015,811.712,59.59999847
8051,185.7,91.5999985,980.5447,86.59999847
3499,200.60001,70.4000015,785.214,60.30000305
6417,186.3,87.5999985,1041.712,82.80000305
5995,185.7,91.9000015,992.1011,86.90000153
7380,183.39999,90.6999969,988.5992,85.69999695
5120,186.10001,89.3000031,1108.599,84.40000153
799,201.89999,69.1999969,901.712,60.09999847
661,185.89999,91.3000031,964.4358,86.30000305
635,185.39999,90.9000015,1007.043,85.90000153
6574,184.5,89.0,996.6537,84.09999847
2015,200.2,67.6999969,850.934,58.19999695
2604,185.2,89.0,1114.319,84.40000153
1084,200.7,70.1999969,898.21,60.69999695
1245,199.3,69.3000031,833.658,59.5
8448,182.0,92.8000031,1005.48,87.0
2146,197.2,70.8000031,804.825,61.09999847
4251,202.60001,68.0999985,917.821,58.40000153
345,184.7,91.0999985,1050.934,86.19999695
6583,183.2,90.452079,1005.48,85.542239
8215,184.60001,87.9000015,1015.214,83.40000153
6966,188.3,87.0999985,1102.879,82.69999695
8515,183.3,90.8000031,1004.825,85.5
176,197.60001,69.4000015,828.988,59.69999695
205,182.10001,89.8000031,1017.432,85.19999695
188,199.3,70.3000031,820.934,60.40000153
11510,187.89999,92.5,1078.599,87.80000305
564,187.60001,89.3000031,1102.879,84.59999847
4920,199.8,68.5999985,775.9922,59.0
5939,200.8,72.4000015,755.214,62.30000305
6560,182.89999,89.4000015,984.0467,84.69999695
3916,186.5,91.0999985,979.3774,86.19999695
4200,188.7,87.8000031,1115.486,82.80000305
4531,201.5,67.8000031,833.658,57.90000153
2880,202.89999,68.6999969,907.432,58.90000153
8423,183.3,88.8000031,1010.545,83.69999695
1542,183.10001,86.9000015,1019.767,83.19999695
4670,204.3,72.4000015,762.1011,62.0
2586,186.2,90.452079,1005.48,85.542239
2845,197.3,66.8000031,779.3774,57.90000153
808,201.89999,69.0,929.377,59.19999695
8973,185.7,89.6999969,978.2101,85.0
171,182.8,89.3000031,1016.265,84.59999847
548,188.39999,89.4000015,1094.708,84.69999695
5187,204.89999,70.452079,805.48,60.542239
4430,201.0,69.6999969,880.934,60.09999847
2707,196.0,69.6999969,773.6576,59.80000305
11210,185.2,93.6999969,954.0467,88.69999695
10007,185.8,92.6999969,1011.712,87.80000305
9564,185.7,92.6999969,1015.214,87.80000305
4466,202.0,68.5,880.934,58.40000153
1867,182.60001,90.5,1008.21,85.80000305
2106,200.7,69.1999969,915.486,58.80000305
1340,186.8,89.5999985,1105.097,84.40000153
66,183.2,91.0,1037.043,86.09999847
5727,186.0,88.4000015,1016.265,83.59999847
1683,198.10001,68.6999969,780.5447,59.0
7692,187.7,89.0,994.4358,84.59999847
1289,202.60001,70.452079,724.0467,60.542239
9341,186.8,92.0,1079.766,87.30000305
1583,186.10001,89.5,1061.323,85.09999847
9800,188.8,90.452079,1005.48,85.542239
9474,184.0,90.3000031,1041.712,85.19999695
2792,184.7,89.5999985,1014.047,84.59999847
6472,183.7,90.9000015,989.7665,86.19999695
4741,181.89999,89.0999985,982.8794,83.90000153
1863,183.7,90.3000031,993.2685,85.40000153
10331,188.89999,91.8000031,1076.265,87.19999695
3198,186.10001,88.0999985,1082.101,83.59999847
2863,187.7,88.5,1099.377,83.59999847
